"","X","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","SeedDiff","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","TOVxSD","ScD","winner","GamesSq","WinsxSOS","SeedDiffSq"
"1",1,-3,5,-8,0.244,19.09,8.04,8,-4,204,-59,126,58,0.058,-51,-156,0.00900000000000001,3,23,-0.0179999999999999,132,38,-10,74,47,-13,153.4836,-6426,378,16632,4788,-1260,9324,5922,-1638,0.917999999999995,-1938,-6732,510,663,3036,874,-230,1702,1081,-299,5016,-1320,9768,6204,-1716,-380,2812,1786,-494,-740,-470,130,3478,-962,130,-3,0,9,40.2,169
"2",2,1,-1,2,-0.0570000000000001,15.13,13.34,-2,4,132,69,110,166,0.015,46,109,0.00700000000000001,-134,-133,-0.0499999999999999,-45,46,48,5,-10,-9,201.8342,5060,-14740,-4950,5060,5280,550,-1100,-990,-2.3,2116,-2070,2208,-414,5985,-6118,-6384,-665,1330,1197,-2070,-2160,-225,450,405,2208,230,-460,-414,240,-480,-432,-50,-45,-432,30,1,1,-13.34,81
"3",3,6,5,1,0.021,5.68,0.93,3,1,482,314,106,-52,0.068,-10,-128,0.064,280,209,0.171,76,158,-19,22,207,-3,5.2824,-1060,29680,8056,16748,-2014,2332,21942,-318,-1.71,-1580,-760,190,30,15884,33022,-3971,4598,43263,-627,12008,-1444,1672,15732,-228,-3002,3476,32706,-474,-418,-3933,57,4554,-66,57,9,1,36,4.65,9
"4",4,2,5,-3,0.111,26.35,17.68,-8,2,167,-123,165,106,0.063,-53,-111,-0.028,-108,-91,-0.0659999999999999,9,178,41,-18,11,-13,465.868,-8745,-17820,1485,29370,6765,-2970,1815,-2145,3.49799999999999,-9434,-477,-2173,689,-819,-16198,-3731,1638,-1001,1183,1602,369,-162,99,-117,7298,-3204,1958,-2314,-738,451,-533,-198,234,-533,27,1,4,88.4,169
"5",5,-1,1,-2,0.053,16.65,8.62,-2,0,221,3,72,-22,0.042,41,39,0.06,36,18,0.028,-156,81,6,29,-22,-11,143.523,2952,2592,-11232,5832,432,2088,-1584,-792,1.148,3321,-6396,246,-451,-2808,1458,108,522,-396,-198,-12636,-936,-4524,3432,1716,486,2349,-1782,-891,174,-132,-66,-638,-319,-66,35,1,1,8.62,121
"6",6,5,2,3,-0.053,9.23,12.32,0,2,769,828,377,735,0.00900000000000001,21,139,-0.059,-6,72,-0.074,339,99,150,120,127,-11,113.7136,7917,-2262,127803,37323,56550,45240,47879,-4147,-1.554,2079,7119,3150,-231,24408,7128,10800,8640,9144,-792,33561,50850,40680,43053,-3729,14850,11880,12573,-1089,18000,19050,-1650,15240,-1320,-1650,12,1,25,24.64,121
"7",7,-1,-2,1,-0.044,10.95,17.87,-1,3,-680,-393,-170,-490,0.031,-111,-283,-0.003,-229,-396,0.045,-246,52,-196,12,-67,-9,195.6765,18870,38930,41820,-8840,33320,-2040,11390,1530,-4.995,-5772,27306,21756,999,97416,-20592,77616,-4752,26532,3564,-12792,48216,-2952,16482,2214,-10192,624,-3484,-468,-2352,13132,1764,-804,-108,1764,-15,0,1,-35.74,81
"8",8,0,-3,3,-0.094,3.59,6.89,0,0,-83,72,-6,12,-0.00600000000000001,-42,-89,-0.018,-29,-36,-0.00600000000000001,42,-52,-88,24,-24,-5,24.7351,252,174,-252,312,528,-144,144,30,0.252,2184,-1764,3696,210,-1512,1872,3168,-864,864,180,-2184,-3696,1008,-1008,-210,4576,-1248,1248,260,-2112,2112,440,-576,-120,440,3,1,0,-20.67,25
"9",9,5,11,-6,0.219,22.74,17.06,7,-5,354,154,89,150,0.00600000000000001,44,60,0.046,132,193,-0.00800000000000001,143,72,-105,18,-44,-15,387.9444,3916,11748,12727,6408,-9345,1602,-3916,-1335,-0.352,3168,6292,-4620,-660,27599,13896,-20265,3474,-8492,-2895,10296,-15015,2574,-6292,-2145,-7560,1296,-3168,-1080,-1890,4620,1575,-792,-270,1575,43,1,25,187.66,225
"10",10,1,-3,4,-0.12,12.09,13.22,-6,6,-195,-206,-129,-70,-0.05,-68,-119,-0.068,131,118,0.0619999999999999,285,-26,-11,78,62,-9,159.8298,8772,-16899,-36765,3354,1419,-10062,-7998,1161,-4.21599999999999,1768,-19380,748,612,33630,-3068,-1298,9204,7316,-1062,-7410,-3135,22230,17670,-2565,286,-2028,-1612,234,-858,-682,99,4836,-702,99,13,1,1,-39.66,81
