"","SeedDiff","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","winner","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","GamesSq","SeedDiffSq","WinsxSOS","TOVxSD"
"1",-15,1,11,-10,0.308,32.35,14.95,5,-3,423,-85,209,357,0.021,-68,-43,-0.064,73,176,-0.084,379,158,163,150,97,1,483.6325,-14212,15257,79211,33022,34067,31350,20273,-3135,5.712,-10744,-25772,-11084,1020,66704,27808,28688,26400,17072,-2640,59882,61777,56850,36763,-5685,25754,23700,15326,-2370,24450,15811,-2445,14550,-2250,1,225,164.45,-1455
"2",-1,1,2,-1,0.039,0.11,-1.9,3,-3,50,-22,36,159,-0.021,18,149,-0.047,-40,-115,0.053,35,33,77,6,79,0,-0.209,648,-1440,1260,1188,2772,216,2844,-36,0.954,594,630,1386,-18,-4025,-3795,-8855,-690,-9085,115,1155,2695,210,2765,-35,2541,198,2607,-33,462,6083,-77,474,-6,1,1,-3.8,-79
"3",-7,-1,-5,4,-0.127,12.05,14.75,-4,6,36,248,-10,52,-0.019,-16,-64,0.01,72,139,-0.056,70,-37,50,73,66,0,177.7375,160,-720,-700,370,-500,-730,-660,70,0.896,592,-1120,-800,112,9730,-5143,6950,10147,9174,-973,-2590,3500,5110,4620,-490,-1850,-2701,-2442,259,3650,3300,-350,4818,-511,1,49,-73.75,-462
"4",-9,-3,1,-4,0.093,14.51,5.92,2,-2,21,-244,-12,-267,0.058,106,127,0.086,-61,-248,0.16,-349,37,-35,-68,-83,1,85.8992,-1272,732,4188,-444,420,816,996,108,16.96,3922,-36994,-3710,-954,86552,-9176,8680,16864,20584,2232,-12913,12215,23732,28967,3141,-1295,-2516,-3071,-333,2380,2905,315,5644,612,9,81,5.92,747
"5",-5,1,-4,5,-0.151,8.18,14.09,-3,5,-427,-208,-180,-199,-0.045,-93,-213,-0.021,26,27,0.01,47,-193,-73,34,60,1,115.2562,16740,-4680,-8460,34740,13140,-6120,-10800,900,-0.93,17949,-4371,6789,465,1269,-5211,-1971,918,1620,-135,-9071,-3431,1598,2820,-235,14089,-6562,-11580,965,-2482,-4380,365,2040,-170,1,25,-56.36,-300
"6",-11,3,4,-1,0.054,11.68,10.51,6,-2,251,214,46,234,-0.036,-3,80,-0.049,162,202,0.018,122,-75,119,12,39,1,122.7568,-138,7452,5612,-3450,5474,552,1794,-506,-0.054,225,-366,-357,33,24644,-15150,24038,2424,7878,-2222,-9150,14518,1464,4758,-1342,-8925,-900,-2925,825,1428,4641,-1309,468,-132,9,121,42.04,-429
"7",-3,-1,-1,0,-0.012,5.68,0.56,1,-3,53,-114,-12,-14,-0.003,107,280,0.021,-30,-138,0.096,2,-62,-16,-39,0,0,3.1808,-1284,360,-24,744,192,468,0,36,10.272,-6634,214,-1712,-321,-276,8556,2208,5382,0,414,-124,-32,-78,0,-6,992,2418,0,186,624,0,48,0,117,1,9,-0.56,0
"8",-13,0,8,-8,0.236,25.89,13.77,7,-5,416,19,154,122,0.052,51,103,0.018,57,26,0.057,221,235,-5,58,7,1,356.5053,7854,8778,34034,36190,-770,8932,1078,-2002,2.907,11985,11271,-255,-663,5746,6110,-130,1508,182,-338,51935,-1105,12818,1547,-2873,-1175,13630,1645,-3055,-290,-35,65,406,-754,0,169,110.16,-91
"9",-15,0,10,-10,0.303,34.21,12.68,4,-6,443,-205,186,163,0.054,3,74,-0.038,68,57,0.036,190,128,-4,58,-101,1,433.7828,558,12648,35340,23808,-744,10788,-18786,-2790,0.108,384,570,-12,-45,10830,7296,-228,3306,-5757,-855,24320,-760,11020,-19190,-2850,-512,7424,-12928,-1920,-232,404,60,-5858,-870,0,225,126.8,1515
"10",-1,1,1,0,0.012,1.81,2.25,0,0,8,18,-29,2,-0.016,8,46,-0.01,58,79,0.007,-76,-47,77,6,-14,0,4.0725,-232,-1682,2204,1363,-2233,-174,406,29,0.056,-376,-608,616,-8,-6004,-3713,6083,474,-1106,-79,3572,-5852,-456,1064,76,-3619,-282,658,47,462,-1078,-77,-84,-6,1,1,2.25,14
